d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,7035.03,7200.86
1_facilities_and_construction,2018-2019,6502.08,6643.30
1_facilities_and_construction,2021-2022,22019.63,19987.08
10_office_management,2017-2018,183701.21,188538.00
10_office_management,2018-2019,106124.83,107501.72
10_office_management,2019-2020,336193.53,332857.85
10_office_management,2020-2021,526387.83,497135.73
10_office_management,2021-2022,356628.68,330736.02
2_professional_services,2017-2018,702893.03,720853.13
2_professional_services,2018-2019,524380.79,532367.31
2_professional_services,2019-2020,683734.52,678502.04
2_professional_services,2020-2021,801560.02,760886.71
2_professional_services,2021-2022,951730.20,881101.04
3_information_technology,2017-2018,2045510.46,2098251.46
3_information_technology,2018-2019,1786476.06,1812823.40
3_information_technology,2019-2020,2970232.74,2957639.97
3_information_technology,2020-2021,2044358.09,1939683.95
3_information_technology,2021-2022,1673101.93,1561365.35
5_transportation_and_logistics,2017-2018,151491.23,155170.84
5_transportation_and_logistics,2018-2019,244577.42,247284.68
5_transportation_and_logistics,2019-2020,48232.15,47456.87
5_transportation_and_logistics,2020-2021,71073.46,67288.53
5_transportation_and_logistics,2021-2022,110532.25,100709.72
6_industrial_products_and_services,2019-2020,72474.25,70720.34
8_security_and_protection,2021-2022,26834.31,24394.66
9_human_capital,2017-2018,107915.86,110671.89
9_human_capital,2018-2019,168369.83,170783.17
9_human_capital,2019-2020,195735.10,194045.13
9_human_capital,2020-2021,284968.02,270240.00
9_human_capital,2021-2022,575220.64,536091.98
