d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
10_office_management,2019-2020,33369.13,32561.58
2_professional_services,2017-2018,1686860.97,1729396.23
2_professional_services,2018-2019,1515237.25,1540287.00
2_professional_services,2019-2020,1938904.81,1923577.97
2_professional_services,2020-2021,1385115.22,1316271.17
2_professional_services,2021-2022,1197903.54,965912.18
3_information_technology,2017-2018,24834.60,25543.91
3_information_technology,2018-2019,1083833.42,1098854.55
3_information_technology,2019-2020,1029792.91,1021496.59
3_information_technology,2020-2021,2274493.33,2157126.75
3_information_technology,2021-2022,8834995.90,6460109.07
9_human_capital,2021-2022,34727.00,32407.08
