d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,39340435.37,40352792.94
it_consulting_services,2018-2019,46497338.48,47199819.98
it_consulting_services,2019-2020,45315514.19,44908263.42
it_consulting_services,2020-2021,46991082.46,44667808.05
it_consulting_services,2021-2022,55092825.48,51083789.95
it_devices_equipment,2017-2018,5613670.09,5750080.10
it_devices_equipment,2018-2019,6328548.77,6397197.05
it_devices_equipment,2019-2020,2710184.90,2664553.02
it_devices_equipment,2020-2021,4453168.55,4219643.80
it_devices_equipment,2021-2022,5315448.01,4885320.40
it_other,2017-2018,4155291.15,4256813.88
it_other,2018-2019,3622178.77,3667686.37
it_other,2019-2020,4960654.37,4879528.49
it_other,2020-2021,3124343.60,2961663.02
it_other,2021-2022,3977961.09,3639120.54
it_software_licensing,2017-2018,4633164.51,4751500.49
it_software_licensing,2018-2019,5961754.38,6053220.86
it_software_licensing,2019-2020,6898735.80,6833622.53
it_software_licensing,2020-2021,6164047.31,5856401.10
it_software_licensing,2021-2022,6993347.07,6464311.68
