d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2018-2019,11554.25
1_facilities_and_construction,2019-2020,20283.50
1_facilities_and_construction,2020-2021,12531.70
2_professional_services,2018-2019,821120.29
2_professional_services,2019-2020,324628.95
3_information_technology,2017-2018,4839608.70
3_information_technology,2018-2019,4825009.55
3_information_technology,2019-2020,4860910.57
3_information_technology,2020-2021,7814657.76
3_information_technology,2021-2022,5923824.41
6_industrial_products_and_services,2017-2018,320356.90
6_industrial_products_and_services,2018-2019,289800.03
6_industrial_products_and_services,2019-2020,319056.05
6_industrial_products_and_services,2020-2021,56505.86
6_industrial_products_and_services,2021-2022,53103.89
8_security_and_protection,2021-2022,158976.00
