owner_org,max_years,n
aafc-aac,10.41,8728
aandc-aadnc,6.07,2612
acoa-apeca,5.11,402
atssc-scdata,7.01,484
cannor,5.12,74
cas-satj,6.41,1149
casdo-ocena,6.99,56
cbsa-asfc,10.41,4540
ced-dec,6.36,271
cer-rec,7.01,787
cfia-acia,7.01,2423
cic,6.86,3494
cics-scic,6.14,111
cihr-irsc,6.77,719
cnsc-ccsn,7.01,879
cpc-cpp,5,151
cra-arc,7.01,3652
csa-asc,10.29,1302
csc-scc,11.01,19392
csps-efpc,7.01,477
cta-otc,6.25,269
dfatd-maecd,9.88,18457
dfo-mpo,16.26,30200
ec,12.74,11177
erc-cee,1.73,12
esdc-edsc,7.01,6533
fcac-acfc,6.95,387
feddevontario,7.98,197
fednor,2,4
fin,4.36,550
fintrac-canafe,5,141
fpcc-cpac,2,26
hc-sc,6.71,7123
iaac-aeic,5.17,259
ic,7.08,6035
iic-iac,5.01,156
infc,7.01,528
irb-cisr,7.01,1425
isc-sac,6.22,3129
jus,7.01,1919
lac-bac,6.01,608
nrc-cnrc,10.85,13729
nrcan-rncan,19.29,9550
nserc-crsng,6,679
pbc-clcc,5.01,330
pc,7.01,13626
pch,6.94,1920
pco-bcp,5.54,1478
phac-aspc,10.27,4127
pmprb-cepmb,4.07,116
polar-polaire,4.05,50
ppsc-sppc,8.89,623
pptc,0,1
ps-sp,7.01,1050
psc-cfp,5,246
pwgsc-tpsgc,18.66,27882
rcmp-grc,21.01,15589
ssc-spc,20.01,9701
sshrc-crsh,5,151
statcan,5,1320
swc-cfc,4.98,95
tbs-sct,10.01,1279
tc,11.12,7366
tsb-bst,5.24,282
vac-acc,10.87,1305
vrab-tacra,1.51,47
wage,7.01,424
wd-deo,7.01,148
