d_most_recent_category,contracts,contracts_with_amendments,has_amendments_percentage
0_other,1538,134,0.0871
1_facilities_and_construction,39723,8058,0.2029
10_office_management,19304,1884,0.0976
2_professional_services,64063,11215,0.1751
3_information_technology,57157,12133,0.2123
4_medical,9314,1495,0.1605
5_transportation_and_logistics,29539,3318,0.1123
6_industrial_products_and_services,31123,1832,0.0589
7_travel,2072,244,0.1178
8_security_and_protection,5611,1492,0.2659
9_human_capital,12656,1712,0.1353
