d_vendor_name,mean_number_of_amendments,n
10647802 CANADA,2.33,6
11983890 CANADA CENTRE,2,1
1320376 ONTARIO,1.5,4
1X1 ARCHITECTURE,1.33,18
2220742 ONTARIO,2.8,10
2536 4589 QUEBEC,4,1
2KEYS,2,8
3469051 CANADA,1.29,14
3D DATACOMM,1,4
3M CANADA COMPANY,3.5,2
4 OFFICE AUTOMATION,2.25,87
4083261 CANADA,2.6,5
49 SOLUTIONS,2.6,5
529040 ONTARIO AND 880382,2.08,13
6834973 CANADA,7,1
727619 ALBERTA O A ROUGHRIDER,5,1
7305516 CANADA,1.33,6
736902 ONTARIO,1.8,5
73719 NEWFOUNDLAND LABRADOR,1.75,4
851791 NWT,3.5,2
9006 9311 QUEBEC,4.8,5
9090 5092 QUEBEC,4.33,3
9099 3593 QUEBEC INTER PROJE,4.5,2
9168516 CANADA,4,1
9275 0181 QUEBEC,4,3
A SANTIN MASON CONTRACTOR,5,1
AB SCIEX,1.5,10
ABB,2.17,18
ABBOTT,1.33,9
ABCO MAINTENANCE SYSTEMS,1,1
ACADIAN DREDGING,1,10
ACART COMMUNICATIONS,2.2,5
ACCENTURE,2.03,33
ACCESS 2 NETWORKS,1.22,9
ACKLANDS GRAINGER,1.3,10
ACME FUTURE SECURITY CONTROLS,2.25,16
ACOSYS CONSULTING SERVICES,1.7,30
ACT,1.25,4
ACTION PERSONNEL OF OTTAWA HULL,1.84,19
ADAPT PHARMA CANADA,1.5,2
ADGA GROUP,1.8,46
ADOBE,2.67,9
ADPEARL,5,1
ADRM TECHNOLOGY CONSULTING,1.9,137
ADVANCED BUSINESS INTERIORS,1.13,46
ADVANCED CHIPPEWA TECHNOLOGIES,1.55,49
ADVANCED PARAMEDIC,2,2
AECOM,2.35,113
AEG FUELS,1,1
AERO FEU,1,2
AERO SUPPLIES,1.05,22
AEROPORTS DE MONTREAL,1,1
AEROPRO,4.25,4
AFC INDUSTRIES,3.5,2
AFN ENGINEERING,1.14,51
AGILENT,1.35,40
AIM HEALTH GROUP,2.17,6
AINSWORTH,1.81,16
AIR INUIT,1,1
AIR LIQUIDE CANADA,1.39,44
AIR TINDI,1.29,7
AIRBUS,1.29,21
ALBERTA SEVENTH STEP SOCIETY,5.5,2
ALCAIDE WEBSTER ARCHITECTS,1.33,12
ALINEA INTERNATIONAL,2,1
ALLEN HASTINGS,1.25,4
ALLIANCE ENERGY,5.33,3
ALLIANCE ENGINEERING CONSTRUCTION,2.5,2
ALLIED PAVING,2,1
ALLIED SHIPBUILDERS,1.67,12
ALPINE AEROTECH,1,4
ALPINE HELICOPTERS,1.1,10
ALS CANADA,1.37,19
ALTIS HUMAN RESOURCES,1.54,245
ALVA CONSTRUCTION,1.83,6
AMAZON,1.82,22
AMD MEDICOM,1,2
AMDOCS,1,1
AMEC FOSTER WHEELER AMERICAS,1.29,21
AMERESCO CANADA,3.67,9
AMERICAN BUREAU OF SHIPPING,1.55,11
AMEX BANK OF CANADA,1,1
AMTEK ENGINEERING,2,1
ANCHOR QEA,1,1
ANIXTER,1,2
ANSYS CANADA,1.29,7
