d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2018-2019,341550.50,346681.89
1_facilities_and_construction,2021-2022,52749.59,49504.81
10_office_management,2017-2018,3775261.22,3869267.04
10_office_management,2018-2019,6998905.52,7080241.11
10_office_management,2019-2020,6380829.59,6295521.85
10_office_management,2020-2021,4973150.37,4723941.72
10_office_management,2021-2022,2086683.90,1926641.23
2_professional_services,2017-2018,46411.73,47505.75
2_professional_services,2018-2019,57811.72,58599.75
2_professional_services,2019-2020,37079.52,36182.18
2_professional_services,2020-2021,32586.00,30850.67
2_professional_services,2021-2022,101183.77,93086.92
3_information_technology,2018-2019,24943.73,25295.51
3_information_technology,2019-2020,14607.10,14253.60
3_information_technology,2020-2021,14122.01,13348.35
5_transportation_and_logistics,2019-2020,46598.94,45736.84
5_transportation_and_logistics,2020-2021,11333.90,10715.16
6_industrial_products_and_services,2017-2018,647950.68,664708.34
6_industrial_products_and_services,2018-2019,475085.29,483377.93
6_industrial_products_and_services,2019-2020,380025.00,374805.23
6_industrial_products_and_services,2020-2021,886997.16,841976.68
6_industrial_products_and_services,2021-2022,523758.37,478479.08
7_travel,2019-2020,96529.08,94760.08
7_travel,2021-2022,10607.66,9632.13
