owner_org,d_fiscal_year,total
atssc-scdata,2018-2019,669066.5004254443
atssc-scdata,2019-2020,1904863.3495745556
cas-satj,2020-2021,79900.04000000001
cbsa-asfc,2017-2018,114315.24590163934
cbsa-asfc,2018-2019,144329.3110704483
cbsa-asfc,2019-2020,209621.14226898446
cbsa-asfc,2020-2021,209048.40690759377
cer-rec,2017-2018,9303973.995199678
cer-rec,2018-2019,1494620.9969541435
cer-rec,2019-2020,1617053.33203473
cer-rec,2020-2021,590469.359534767
cfia-acia,2017-2018,744927.5345162171
cfia-acia,2018-2019,744731.9502312344
cfia-acia,2019-2020,231792.18252427183
cfia-acia,2020-2021,619167.0946409709
cic,2017-2018,5169362.2258882485
cic,2018-2019,4323382.422820405
cic,2019-2020,3834028.51695005
cic,2020-2021,4198674.352223017
cihr-irsc,2017-2018,741209.0234997761
cihr-irsc,2018-2019,702162.2321428572
cihr-irsc,2020-2021,173304.7875490196
cnsc-ccsn,2017-2018,603014.9325010615
cnsc-ccsn,2018-2019,480150.7047176497
cnsc-ccsn,2019-2020,91031.83315508021
csps-efpc,2017-2018,171510.3488372093
dfatd-maecd,2017-2018,1902458.622497025
dfatd-maecd,2018-2019,2623004.8950361493
dfatd-maecd,2019-2020,2436822.7355208523
dfatd-maecd,2020-2021,2571919.256297192
dfo-mpo,2017-2018,2409805.8582462687
dfo-mpo,2018-2019,5779.158429423459
dfo-mpo,2019-2020,563312.6903193606
dfo-mpo,2020-2021,1064374.493922156
dnd-mdn,2017-2018,482876.0880605508
dnd-mdn,2018-2019,428064.5122754702
dnd-mdn,2019-2020,386919.6370861777
dnd-mdn,2020-2021,578245.4384918811
ec,2017-2018,408143.24061080936
ec,2018-2019,589814.0558396432
ec,2019-2020,591429.9847597518
ec,2020-2021,478517.4787897958
elections,2018-2019,20437.879668049794
elections,2019-2020,20953.12033195021
esdc-edsc,2018-2019,29488.268591549295
esdc-edsc,2019-2020,297910.15061896417
esdc-edsc,2020-2021,397776.2988803956
fin,2017-2018,70127.15428571429
fin,2018-2019,84198.72142857143
fin,2019-2020,84429.40285714285
fin,2020-2021,84198.72142857143
fintrac-canafe,2017-2018,18080
fintrac-canafe,2019-2020,38086.22775800712
fintrac-canafe,2020-2021,36493.772241992876
hc-sc,2017-2018,14849.917400881059
hc-sc,2018-2019,208978.1583941606
hc-sc,2019-2020,1203471.7866970524
hc-sc,2020-2021,3170479.5099341893
iaac-aeic,2020-2021,79582.1218975332
ic,2017-2018,279129.519637566
ic,2018-2019,757873.2884012539
ic,2019-2020,382051.19196118007
ic,2020-2021,162515.46818941506
infc,2018-2019,28250
irb-cisr,2017-2018,174797.82414947017
irb-cisr,2018-2019,281548.9547727764
irb-cisr,2019-2020,522355.52038738993
irb-cisr,2020-2021,647974.6954365988
nrc-cnrc,2018-2019,3898.753863013699
nrc-cnrc,2019-2020,10638.103350101057
nrc-cnrc,2020-2021,10601.376649898946
nrcan-rncan,2017-2018,2385296.7701231167
nrcan-rncan,2018-2019,907782.3214806179
nrcan-rncan,2019-2020,354054.054054054
nrcan-rncan,2020-2021,986486.4864864864
pc,2017-2018,147478.51758646063
pc,2018-2019,204675.50919793968
pc,2019-2020,205236.26401766005
pc,2020-2021,204675.50919793968
pch,2017-2018,935578.6299376525
pch,2018-2019,781447.3512963601
pch,2019-2020,54595.86059880239
psc-cfp,2017-2018,64007.159124087586
psc-cfp,2018-2019,245980.71014834
psc-cfp,2019-2020,237737.26357428773
psc-cfp,2020-2021,165038.06715328468
psic-ispc,2017-2018,31131.5
pwgsc-tpsgc,2017-2018,404057.761142545
pwgsc-tpsgc,2018-2019,517620.38960298564
pwgsc-tpsgc,2019-2020,878618.9716830268
pwgsc-tpsgc,2020-2021,1762505.0016470153
rcmp-grc,2017-2018,1368360.4463546348
rcmp-grc,2018-2019,366361.28113879
rcmp-grc,2019-2020,367365.01067615655
rcmp-grc,2020-2021,366361.28113879
ssc-spc,2017-2018,18961641.161440473
ssc-spc,2018-2019,23355762.338023707
ssc-spc,2019-2020,26780827.767073583
ssc-spc,2020-2021,20926663.649997488
tbs-sct,2017-2018,44619.337390128465
tbs-sct,2019-2020,105903.6
tbs-sct,2020-2021,73016.08
tc,2018-2019,46381.76422110552
tc,2019-2020,46508.83754773869
tc,2020-2021,33547.35823115578
wage,2019-2020,50090.26404624277
wage,2020-2021,55587.975953757224
