d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,29607852.00,30369762.13
it_consulting_services,2018-2019,38592560.93,39184986.87
it_consulting_services,2019-2020,40415176.31,40045393.90
it_consulting_services,2020-2021,61286261.85,58322309.15
it_consulting_services,2021-2022,45645605.42,42360531.76
it_other,2017-2018,149120.05,152984.24
it_software_licensing,2017-2018,349091.93,357436.33
it_software_licensing,2018-2019,887523.01,901200.31
it_software_licensing,2019-2020,361238.67,359233.94
it_software_licensing,2020-2021,467669.32,444037.99
it_software_licensing,2021-2022,826263.78,765512.60
