d_most_recent_category,total,percentage
1_facilities_and_construction,103051951.36908554,0.6537625648251041
2_professional_services,52462044.511950195,0.3328197120039231
6_industrial_products_and_services,614834.786401099,0.003900517763721453
3_information_technology,464534.5831838182,0.002947011837403391
9_human_capital,372608.28574264207,0.00236383052747579
7_travel,259939.0727311828,0.0016490559628352366
NA,207055.43,0.001313561627697356
5_transportation_and_logistics,88951.35,5.643082149155771e-4
11_defence,74469.57473015873,4.7243569413503043e-4
10_office_management,17640,1.1190832866629657e-4
8_security_and_protection,14989.449999999999,9.509321412284689e-5
