d_most_recent_category,d_fiscal_year,total
10_office_management,2017-2018,705533.61
10_office_management,2018-2019,544184.16
10_office_management,2019-2020,538406.22
10_office_management,2020-2021,484994.27
10_office_management,2021-2022,539671.18
11_defence,2017-2018,11300.00
11_defence,2018-2019,33697.73
2_professional_services,2017-2018,1460150.35
2_professional_services,2018-2019,1460150.35
2_professional_services,2019-2020,1625608.30
2_professional_services,2020-2021,1472882.73
2_professional_services,2021-2022,1098225.64
3_information_technology,2017-2018,27657.30
3_information_technology,2018-2019,46423.49
3_information_technology,2019-2020,60493.63
3_information_technology,2020-2021,36792.68
3_information_technology,2021-2022,38201.47
5_transportation_and_logistics,2017-2018,2777430.26
5_transportation_and_logistics,2018-2019,770066.16
5_transportation_and_logistics,2019-2020,1330719.07
5_transportation_and_logistics,2020-2021,1148202.88
5_transportation_and_logistics,2021-2022,1183680.13
9_human_capital,2017-2018,42039.41
9_human_capital,2018-2019,34065.02
9_human_capital,2019-2020,32597.79
9_human_capital,2020-2021,43134.06
9_human_capital,2021-2022,60068.35
